# k1  k2  k3  B_rspace  err  B_sspace(w/oAP)  err  B_sspace(w/AP)  err  N-of-triangles
0.025 0.045 0.065 2.048269e+09 3.098484e+07 3.647778e+09 4.711654e+07 4.031593e+09 4.795314e+07 255546210
0.025 0.045 0.075 2.016143e+09 3.058256e+07 3.694648e+09 5.230877e+07 4.557208e+09 6.084845e+07 63757734
0.025 0.055 0.055 1.592810e+09 6.508093e+07 2.595490e+09 8.295166e+07 2.800816e+09 7.612694e+07 307154832
0.025 0.055 0.065 1.663194e+09 2.155443e+07 2.744034e+09 3.434341e+07 2.918911e+09 3.758965e+07 365897568
0.025 0.055 0.075 1.807682e+09 1.641262e+07 3.185949e+09 2.634543e+07 3.534899e+09 3.214067e+07 357131706
0.025 0.055 0.085 1.836315e+09 3.191052e+07 3.310319e+09 5.857103e+07 4.233436e+09 7.295582e+07 87442038
0.025 0.065 0.065 1.461080e+09 2.923443e+07 2.328129e+09 3.554133e+07 2.496794e+09 3.505041e+07 435862512
0.025 0.065 0.075 1.510452e+09 1.399791e+07 2.477715e+09 1.915371e+07 2.628789e+09 1.764817e+07 499780392
0.025 0.065 0.085 1.661074e+09 1.482939e+07 2.897493e+09 2.577613e+07 3.213933e+09 3.155390e+07 481628694
0.025 0.065 0.095 1.692855e+09 3.366003e+07 3.076901e+09 5.755652e+07 3.988319e+09 5.237574e+07 117923970
0.025 0.075 0.075 1.294242e+09 1.684140e+07 2.058100e+09 2.118466e+07 2.233921e+09 3.611689e+07 573062016
0.025 0.075 0.085 1.345912e+09 1.105508e+07 2.196138e+09 1.297445e+07 2.340719e+09 1.429455e+07 648215208
0.025 0.075 0.095 1.528699e+09 9.565038e+06 2.638500e+09 1.206734e+07 2.961188e+09 1.423363e+07 621436038
0.025 0.075 0.105 1.559084e+09 1.973331e+07 2.783807e+09 3.127870e+07 3.653001e+09 3.310408e+07 147988026
0.025 0.085 0.085 1.158681e+09 1.375829e+07 1.825838e+09 1.776705e+07 1.939862e+09 2.504511e+07 733200312
0.025 0.085 0.095 1.143155e+09 1.264561e+07 1.860106e+09 1.813217e+07 1.982366e+09 1.866052e+07 824799504
0.025 0.085 0.105 1.323098e+09 6.632671e+06 2.265808e+09 1.118456e+07 2.545738e+09 1.424413e+07 772255758
0.025 0.085 0.115 1.340519e+09 1.935053e+07 2.341669e+09 2.724508e+07 3.265158e+09 3.549158e+07 182339358
0.025 0.095 0.095 9.397861e+08 7.771457e+06 1.481683e+09 1.125943e+07 1.556843e+09 1.524292e+07 927809760
0.025 0.095 0.105 9.821386e+08 6.546846e+06 1.583587e+09 1.058947e+07 1.682676e+09 9.591807e+06 1020829152
0.025 0.095 0.115 1.108618e+09 9.978244e+06 1.887632e+09 1.406519e+07 2.116959e+09 1.373471e+07 951668754
0.025 0.095 0.125 1.076060e+09 1.119777e+07 1.887356e+09 1.699766e+07 2.649147e+09 2.320357e+07 224027094
0.025 0.105 0.105 8.383481e+08 9.107167e+06 1.304714e+09 1.370688e+07 1.395188e+09 1.399716e+07 1123138536
0.025 0.105 0.115 8.417426e+08 8.872167e+06 1.356376e+09 1.300856e+07 1.437195e+09 1.259657e+07 1230565464
0.025 0.105 0.125 9.301937e+08 5.807026e+06 1.579102e+09 7.020255e+06 1.791109e+09 9.386429e+06 1141527930
0.025 0.105 0.135 9.184236e+08 1.314246e+07 1.606179e+09 1.648988e+07 2.395644e+09 3.413690e+07 264730446
0.025 0.115 0.115 7.461512e+08 1.057569e+07 1.154531e+09 1.529682e+07 1.228743e+09 6.019232e+06 1348253448
0.025 0.115 0.125 7.761745e+08 5.046556e+06 1.225416e+09 6.456759e+06 1.306904e+09 7.660856e+06 1469532312
0.025 0.115 0.135 8.548894e+08 4.622429e+06 1.431852e+09 6.743894e+06 1.645277e+09 9.151037e+06 1345353714
0.025 0.115 0.145 8.736475e+08 1.283717e+07 1.508864e+09 1.903020e+07 2.305695e+09 2.428336e+07 311898870
0.025 0.125 0.125 6.853400e+08 8.536033e+06 1.041943e+09 1.257068e+07 1.138183e+09 9.992274e+06 1601760192
0.025 0.125 0.135 7.266459e+08 4.907898e+06 1.135054e+09 5.075799e+06 1.214753e+09 7.037381e+06 1723662912
0.025 0.125 0.145 8.211416e+08 7.490953e+06 1.351102e+09 8.515234e+06 1.561052e+09 1.025606e+07 1577929602
0.025 0.135 0.135 6.501416e+08 6.997811e+06 9.772985e+08 8.537552e+06 1.048223e+09 9.751884e+06 1854890808
0.025 0.135 0.145 6.892874e+08 2.016668e+06 1.063930e+09 3.922557e+06 1.140672e+09 6.308355e+06 1995341904
0.025 0.145 0.145 6.111661e+08 6.945570e+06 9.075937e+08 1.085391e+07 9.696179e+08 8.199865e+06 2146447584
0.035 0.035 0.035 2.000533e+09 8.556763e+07 3.217509e+09 1.194711e+08 3.269295e+09 1.048616e+08 180061896
0.035 0.035 0.045 1.811705e+09 4.533962e+07 2.935403e+09 6.741326e+07 3.069554e+09 5.315101e+07 229203648
0.035 0.035 0.055 1.907906e+09 4.690521e+07 3.226147e+09 6.519695e+07 3.408392e+09 6.863106e+07 280197672
0.035 0.035 0.065 2.077515e+09 3.906164e+07 3.703414e+09 4.517301e+07 3.998898e+09 5.231228e+07 283560990
0.035 0.035 0.075 1.829371e+09 8.619417e+07 3.488892e+09 1.106257e+08 4.066657e+09 1.646838e+08 70949558
0.035 0.045 0.045 1.540654e+09 3.287576e+07 2.466537e+09 4.280080e+07 2.685316e+09 2.330164e+07 291777480
0.035 0.045 0.055 1.388908e+09 1.225963e+07 2.255939e+09 1.501708e+07 2.482742e+09 2.908474e+07 356670768
0.035 0.045 0.065 1.550667e+09 1.892319e+07 2.601123e+09 2.713584e+07 2.771643e+09 3.567074e+07 424886568
0.035 0.045 0.075 1.682808e+09 1.527225e+07 2.969412e+09 2.634569e+07 3.290469e+09 2.328749e+07 413591874
0.035 0.045 0.085 1.742486e+09 3.944750e+07 3.140388e+09 6.052672e+07 3.728955e+09 4.033264e+07 101579982
0.035 0.055 0.055 1.297010e+09 2.770501e+07 2.058351e+09 4.197950e+07 2.201823e+09 3.600683e+07 436024224
0.035 0.055 0.065 1.273096e+09 1.407687e+07 2.058339e+09 2.371886e+07 2.203527e+09 2.038849e+07 519394560
0.035 0.055 0.075 1.310900e+09 1.967720e+07 2.203197e+09 2.825489e+07 2.374876e+09 3.185186e+07 595564152
0.035 0.055 0.085 1.440199e+09 1.434530e+07 2.535332e+09 1.893671e+07 2.810810e+09 1.885026e+07 571019766
0.035 0.055 0.095 1.446670e+09 3.254494e+07 2.591783e+09 4.442829e+07 3.385644e+09 5.142397e+07 137899850
0.035 0.065 0.065 1.131259e+09 1.979428e+07 1.806439e+09 3.134328e+07 1.903714e+09 3.983250e+07 618723072
0.035 0.065 0.075 1.152240e+09 1.259927e+07 1.842364e+09 1.734395e+07 1.944398e+09 1.933319e+07 709448256
0.035 0.065 0.085 1.215427e+09 7.556235e+06 2.025873e+09 9.418046e+06 2.160508e+09 1.274243e+07 802481376
0.035 0.065 0.095 1.353685e+09 1.400194e+07 2.347266e+09 1.938641e+07 2.598876e+09 1.702091e+07 764056746
0.035 0.065 0.105 1.330091e+09 1.599881e+07 2.373304e+09 2.016040e+07 3.096060e+09 2.076739e+07 180527298
0.035 0.075 0.075 1.065990e+09 1.030984e+07 1.672953e+09 1.202196e+07 1.810556e+09 2.122180e+07 813478608
0.035 0.075 0.085 1.009647e+09 5.424518e+06 1.612531e+09 7.757686e+06 1.709531e+09 1.004667e+07 920144640
0.035 0.075 0.095 1.105146e+09 9.107684e+06 1.826596e+09 1.410185e+07 1.956860e+09 9.936217e+06 1035083064
0.035 0.075 0.105 1.203301e+09 1.043654e+07 2.080806e+09 1.250442e+07 2.323845e+09 1.560708e+07 964811838
0.035 0.075 0.115 1.191659e+09 1.636894e+07 2.089884e+09 2.737509e+07 2.793696e+09 3.782692e+07 227354090
0.035 0.085 0.085 8.647626e+08 1.020207e+07 1.356577e+09 1.594422e+07 1.442566e+09 1.913439e+07 1040808144
0.035 0.085 0.095 8.653737e+08 2.977140e+06 1.373057e+09 6.645969e+06 1.478125e+09 9.821271e+06 1170814824
0.035 0.085 0.105 9.549774e+08 8.671464e+06 1.568236e+09 1.242185e+07 1.665177e+09 1.215333e+07 1288171056
0.035 0.085 0.115 1.051157e+09 5.523731e+06 1.805311e+09 6.337912e+06 2.009602e+09 8.512621e+06 1194578502
0.035 0.085 0.125 1.017453e+09 1.832888e+07 1.763015e+09 1.840998e+07 2.463478e+09 2.025490e+07 277516158
0.035 0.095 0.095 7.520843e+08 7.142820e+06 1.173325e+09 1.083322e+07 1.236483e+09 1.420907e+07 1317073992
